ngc,ra,dec
N0259,11.37583333,-3.048888889
N0260,11.47529167,27.41966667
N0261,11.15833333,-73.36680556
N0262,11.520275,31.68443333
N0263,11.57458333,-13.38
N0264,11.49166667,-38.50694444
N0265,11.34458333,-73.75027778
N0266,11.7725,32.00536111
N0267,11.5625,-73.53355556
N0268,11.90416667,-5.465833333
N0269,11.64208333,-73.80333333
N0270,12.00375,-8.923888889
N0271,12.03604167,-2.182027778
N0272,12.1625,35.55013889
N0273,12.06833333,-7.1575
N0274,12.1245,-7.329027778
N0275,12.13554167,-7.336972222
N0276=I1591,12.41229167,-22.95172222
N0277,12.19024167,-8.868733333
N0278,12.31145833,47.27891667
N0279,12.399125,-2.489833333
N0280,12.457125,24.07894444
N0281=I0011,12.49,56.35361111
N0282,12.49833333,30.36694444
N0283,12.67930833,-13.43534444
N0284,12.72519167,-13.43035556
N0285,12.74873333,-13.43236389
N0286,12.75078333,-13.38394444
N0287,12.6875,32.21083333
N0288,12.58375,-26.85816667
N0289,12.57191667,-31.47766667
N0290,12.37291667,-73.43333333
N0291,12.74333333,-9.039444444
N0292,12.72916667,-73.06691667
N0293,12.93420833,-7.506861111
N0294,12.84458333,-73.65166667
N0295,13.09166667,31.25016667
N0296,13.10145833,31.27155556
N0297,13.113125,-7.620861111
N0298,13.1275,-7.604305556
N0299,12.91083333,-72.46777778
N0300,13.13183333,-37.95505556
N0301,13.44875,-10.94416667
N0302,13.47733333,-10.93316667
N0303n=N0303A,13.10629167,-16.92405556
N0303s=N0303B,13.10679167,-16.92691667
N0304,13.35558333,23.856
N0305,13.43,11.7975
N0306,13.12291667,-72.51277778
N0307,13.49741667,-2.04225
N0308,13.50458333,-2.0545
N0309,13.54875,-10.18416667
N0309A,13.482375,-10.20363889
N0310,13.56133333,-2.035805556
N0311,13.70658333,30.01019444
N0312,13.51458333,-53.05333333
N0313,13.76041667,30.09611111
N0313 *s,13.76029167,30.0955
N0314,13.62041667,-32.23361111
N0315,13.77395833,30.08236111
N0316,13.78808333,30.08413889
N0317=N0317B,13.71320833,43.52211111
N0317a=N0317A,13.70780833,43.53079167
N0318,13.84144583,30.15548611
N0319,13.66333333,-44.10869444
N0320,14.07916667,-21.11
N0321,13.779025,-5.356005556
N0322,13.71625,-43.99694444
N0323,13.62166667,-53.24666667
N0324,13.73041667,-41.22916667
N0325,13.815625,-5.383277778
N0326,13.91933333,26.59555556
N0326n,13.91891667,26.5965
N0326s,13.91979167,26.59458333
N0327,13.84595833,-5.401027778
N0328,13.6875,-53.19361111
N0329,13.87225,-5.341222222
N0330,13.65041667,-72.73277778
N0331?,11.140625,-3.003833333
N0331??,13.63333333,-3.041111111
N0332,14.05554167,6.841472222
N0333=N0333A,14.09375,-16.73888889
N0333a=N0333B,14.0925,-16.74277778
N0334,14.11625,-35.385
N0335,14.215,-18.50388889
N0336,13.89483333,-18.65633333
N0337,14.32725,-7.846916667
N0337A,14.759875,-7.857444444
N0338,14.46925,30.39977778
N0339,14.03791667,-74.74277778
N0340,14.51333333,-7.135722222
N0341=N0341A,14.56208333,-9.455
N0341a=N0341B,14.56967917,-9.456586111
N0342,14.57595417,-7.041958333
N0343:,13.98870833,-23.49475
N0344:,13.995,-23.49916667
N0345,14.71045833,-7.153583333
N0346,14.34583333,-72.43355556
N0347,14.76475,-7.002666667
N0348,14.67125,-53.51361111
N0349,14.82958333,-7.068833333
N0350,14.85449167,-7.064738889
N0351,14.85308333,-2.205055556
N0352,14.90291667,-4.514166667
N0353,14.96466667,-2.226166667
N0354,15.147625,22.07416667
N0355,15.14673333,-6.592555556
N0356,15.14791667,-7.256805556
N0357,15.20916667,-6.606666667
N0358,15.5125,61.75305556
N0359,15.43129167,-1.032777778
N0360,15.23808333,-65.87777778
N0361,15.12791667,-71.87444444
N0362,15.38466667,-71.11658333
N0363,15.94837083,-16.80925
N0364,15.53066667,-1.070722222
N0365,15.49083333,-35.38944444
N0366,15.82083333,61.95022222
N0367,15.83,-12.39611111
N0368,15.52166667,-43.54361111
N0369,15.67083333,-18.02638889
N0370=N0372,15.99570833,32.1615
N0371,15.4625,-72.31680556
N0372=N0370,15.99570833,32.1615
N0373,16.05416667,32.04138889
N0374,16.08291667,32.52819444
N0375,16.08584583,32.08090556
N0376,15.57916667,-73.09194444
N0377,16.03445833,-20.59919444
N0378,15.95458333,-30.44527778
N0379,16.1245,32.25366667
N0380,16.13266667,32.21619444
N0381,16.2875,61.31666667
N0382,16.15925,32.13697222
N0383,16.16320833,#VALUE!
N0384,16.16391667,32.02583333
N0385,16.173,32.05313889
N0386,16.18964583,32.09519167
N0387,16.19720833,32.12425
N0388,16.25552083,32.043125
N0389,16.417625,39.42825
N0390,16.28458333,32.16611111
N0391,16.20270833,-0.658583333
N0392,16.40483333,32.86683333
N0393,16.44729167,39.37725
N0394,16.41583333,32.88111111
N0395,15.88166667,-72.26138889
N0396,16.38795833,4.264888889
N0397,16.436425,32.84302778
N0398,16.531925,32.24818611
N0399,16.5545,32.36780556
N0400,16.56833333,32.46611111
N0401,16.58958333,32.49333333
N0402,16.61291667,32.53944444
N0403,16.61691667,32.48586111
N0404,16.663375,35.45191667
N0405,16.58666667,-46.935
N0406,16.42958333,-70.14305556
N0407,16.957625,32.85994444
N0408,17.01833333,32.88613889
N0409,16.80541667,-36.07166667
N0410,17.05016667,32.88577778
N0411,16.5875,-72.035
N0412,16.975,-20.26691667
N0412??,16.03333333,-20.6
N0413,17.49466667,-3.058972222
N0414nw,17.12833333,32.84777778
N0414nw+se,17.12845833,32.848
N0414se,17.13,32.84638889
N0415,16.94125,-35.75666667
N0416,16.60833333,-72.6225
N0417,17.16065,-18.41438889
N0418,17.056875,-30.48686111
N0419,16.69625,-73.15
N0420,17.34695833,31.85780556
N0421,17.36666667,31.85013889
N0422,16.96625,-72.03277778
N0423,17.24958333,-29.5
N0424,17.29083333,-38.34833333
N0425,17.55195833,38.50352778
N0426,17.56279583,-0.555438889
N0427,17.49458333,-32.32666667
N0428,17.58991667,-0.716888889
N0429,17.59904167,-0.6105
N0430,17.60933333,-0.517555556
N0431,17.82054167,33.43966667
N0432,17.45875,-61.79222222
N0433,18.00416667,59.85022222
N0434,17.55583333,-58.51194444
N0434A,17.6225,-58.47305556
N0435,17.855875,1.80625
N0436,18.20416667,58.53355556
N0437,17.94308333,5.662055556
N0438,17.81833333,-38.16638889
N0439,17.86048333,-32.01189167
N0440,17.70041667,-58.54722222
N0441,17.87791667,-32.05277778
N0442,18.02229167,-1.28525
N0443=I1653,18.08308333,33.11315833
N0444=I1658,18.26283333,30.81641667
N0445,18.07541667,1.652777778
N0446=I0089,18.36795833,4.030444444
N0447=I1656,18.20895833,32.80361111
N0448,18.180625,-1.89
N0449,18.33187083,#VALUE!
N0450,18.238,-1.125027778
N0451=I1661,18.353125,32.80038889
N0452,18.3685,30.76997222
N0453,18.37416667,32.75055556
N0454,18.08375,-55.66333333
N0454n,18.092125,-55.66080556
N0454s,18.08266667,-55.67675
N0454w,18.078375,-55.66452778
N0455,18.34125,4.914305556
N0456,18.0925,-73.55638889
N0457,19.10416667,58.01680556
N0458,18.34625,-71.81416667
N0459,18.86470833,17.29919444
N0460,18.3125,-73.53341667
N0460nw,18.3125,-73.55022222
N0460se,18.37916667,-73.5835
N0461,18.755,-34.10416667
N0462,18.89861667,3.963111111
N0463,19.075,16.06288889
N0464,19.15583333,34.69277778
N0465,18.58666667,-73.59305556
N0466,18.81708333,-59.17305556
N0467,19.14666667,3.038083333
N0468=I0092,19.25133333,32.50508333
N0469,19.22229167,14.609
N0470,19.29133333,3.147555556
N0471,19.33341667,14.52369444
N0471 comp,19.33504167,14.52158333
N0472,19.41895833,32.447
N0473,19.31120833,16.28269444
N0474,19.381625,3.153166667
N0475=I0097,19.3434625,14.59948333
N0476,19.41549583,15.75788889
N0477,19.61333333,40.227
N0478,19.43666667,-22.64027778
N0479,19.669,3.600555556
N0480:,19.51904167,-10.14227778
N0481,19.67729167,-9.473055556
N0482,19.52583333,-41.2275
N0483,19.78045833,33.26025
N0484,19.40791667,-58.78638889
N0485,19.71295833,6.756555556
N0486,19.78208333,5.085277778
N0486 *,19.78333333,5.086666667
N0486 gal,19.78,5.084166667
N0487,19.8675,-16.63222222
N0488,19.79583333,4.994916667
N0489,19.81866667,8.944805556
N0490,19.8625875,5.105866667
N0491,19.75833333,-34.325
N0491A,19.4425,-34.16277778
N0492,19.90729167,5.155527778
N0493,19.89629167,-0.684861111
N0494,20.02670833,32.91263889
N0495,20.02891667,33.21055556
N0496,20.09354167,33.26825
N0497,19.96020833,-1.136527778
N0498,20.09224167,33.228225
N0499=I1686,20.09366667,#VALUE!
N0500,20.01455833,5.1262
N0501,20.13886667,33.17201667
N0502,20.075625,8.787916667
N0503,20.16482083,33.07150278
N0504,20.16191667,32.94363889
N0505,20.08133333,9.20775
N0506,20.193125,32.98327778
N0507,20.212,32.99522222
N0508,20.21491667,33.01969444
N0509,20.19383333,9.172722222
N0510,20.27625,33.23638889
N0511,20.218125,11.02997222
N0512,20.29283333,33.64722222
N0513,20.40557083,33.53898056
N0514,20.35325,12.65688889
N0515,20.45445833,33.21269444
N0516,20.37679167,9.291111111
N0517,20.47679167,33.16919444
N0518,20.41725,9.070611111
N0519,20.48208333,-1.901666667
N0520,20.49804167,#VALUE!
N0520e,20.50970833,3.528111111
N0520s,20.49779167,3.529361111
N0520w,20.49616667,3.53525
N0521,20.49745833,1.471027778
N0522,20.533125,#VALUE!
N0523e=N0537e,20.63570833,33.76591667
N0523m=N0537m,20.629125,33.76497222
N0523w=N0537w,20.623875,33.76447222
N0524,20.541875,9.279027778
N0525,20.56277917,9.442919444
N0526=N0526A,20.40566667,-35.3265
N0526B,20.41725,-35.33011111
N0527,20.42058333,-35.37594444
N0528,20.68345833,33.41138889
N0529,20.708375,34.45319444
N0530=I0106,20.53629167,-1.847777778
N0531,20.868375,34.49444444
N0532,20.66491667,9.004111111
N0533,20.73770833,1.499277778
N0534,20.62383333,-38.389
N0535,20.741875,-1.668777778
N0536,20.88054167,34.44344444
N0537e=N0523e,20.63570833,33.76591667
N0537m=N0523m,20.629125,33.76497222
N0537w=N0523w,20.623875,33.76447222
N0538,20.72116667,-1.810944444
N0539=N0563,20.733,-18.42386389
N0540,21.1836,-20.29552222
N0541,20.7968625,-1.639247222
N0542,20.918625,34.41594444
N0543,20.82041667,-1.5525
N0544,20.73758333,-38.35425
N0545,20.8583875,#VALUE!
