abell_num,ra,dec
361,37.875,2.883333333
362,37.9,-4.866666667
363,38.2,9.45
364,38.8,8.683333333
365,38.9,-1.416666667
366,38.925,-5.433333333
367,39.15,-19.38333333
368,39.35,-26.5
369,39.925,-3.533333333
370,39.95,-1.583333333
371,40.275,-11.21666667
372,40.9,41.85
373,40.85,28
374,40.875,4.25
375,41.225,29.06666667
376,41.45,36.86666667
377,41.5,27.81666667
378,41.25,-3.083333333
379,41.375,3.416666667
380,41.1,-26.25
381,41.5,-0.633333333
382,41.775,4.316666667
383,42.025,-3.5
384,42.05,-2.283333333
385,41.925,-21.81666667
386,42.5,-17.16666667
387,43.125,28.1
388,42.9,-3.766666667
389,42.825,-24.91666667
390,43.2,-14.96666667
391,43.375,-2.5
392,43.575,4.933333333
393,43.6,3.916666667
394,43.475,-14.65
395,43.625,-10.38333333
396,44.375,41.6
397,44.25,15.95
398,44.025,-15.68333333
399,44.475,13.01666667
0,0,0
400,44.4,6.033333333
401,44.725,13.58333333
402,44.4,-22.11666667
403,44.8,3.5
404,45.3,41.4
405,45.25,37.75
406,44.7,-19.61666667
407,45.425,35.83333333
408,45.675,32.41666667
409,45.825,1.883333333
410,45.975,3.8
411,46.15,1.016666667
412,46.575,-0.166666667
413,46.65,2.266666667
414,46.525,-14.45
415,46.7,-12.03333333
416,46.8,-16.73333333
417,46.9,-14.56666667
418,47.075,-13.73333333
419,47.125,-23.65
420,47.325,-11.53333333
421,47.65,9.8
422,47.575,-11.05
423,47.825,-12.11666667
424,48.05,-2.65
425,48.975,-11.73333333
426,49.65,41.51666667
427,49.55,34.45
428,49,-19.1
429,49.925,36.81666667
430,50.375,-15.33333333
431,50.4,-16.55
432,51.025,-5.8
433,51.15,-6.783333333
434,51.25,-9.45
435,51.5,-5.633333333
436,51.675,9.15
437,51.7,-2.733333333
438,52.15,-9.85
439,52.625,24.78333333
440,52.3,-10.61666667
441,52.65,-6.966666667
442,52.6,-12.91666667
443,52.9,-6.25
444,53.85,3.3
445,54.125,-2.866666667
446,54.3,-2.416666667
447,54.5,-5.116666667
448,54.675,-11.11666667
449,57.4,75.18333333
450,55.425,23.5
451,55.525,-2.416666667
452,56.45,1.683333333
453,56.175,-20.03333333
454,56.3,-12.98333333
455,56.65,7.866666667
456,56.35,-20.73333333
457,56.4,-20.13333333
458,56.45,-24.28333333
459,56.525,-20.3
460,56.65,-13.7
461,57.2,27.13333333
462,57.075,-17.66666667
463,57.3,-21.58333333
464,57.375,-17.81666667
465,57.75,6.3
466,58.075,25.23333333
467,57.575,-22.26666667
468,58.175,21.41666667
469,58,-22.16666667
470,58.8,-4.666666667
471,59.875,-13.65
472,60.925,-17.1
473,61.125,-17.46666667
474,62.975,-16.68333333
475,62.225,-9.383333333
476,62.85,-11.2
477,63.025,-1.866666667
478,63.325,10.48333333
479,63.575,-3.416666667
480,63.775,0.983333333
481,63.875,-9.95
482,64.125,-2.133333333
